Sample Name,Sheet Name,Block Index,peak_idx,Tag,Doin,No.peak,DOmin,DDO,phase_label
U190-H5-VS2-GGA2.5- HH 15mg-L-17092024-Q=50.64mL-phút-4,U190-H5-VS2-15.09.2024,1,4,,316.47451,2204.0,227.59999,88.87452,0
U190-H5-VS2-GGA2.5- HH 15mg-L-17092024-Q=50.64mL-phút-4,U190-H5-VS2-15.09.2024,1,5,GGA2.5-HH15,312.75098,2673.0,237.10001,75.65097,1
U190-H5-VS2-GGA2.5- HH 15mg-L-17092024-Q=50.64mL-phút-4,U190-H5-VS2-15.09.2024,1,6,,310.20192,3146.0,236.6,73.60192,2
U190-H5-VS2-GGA2.5- HH 15mg-L-17092024-Q=50.64mL-phút-4,U190-H5-VS2-15.09.2024,1,7,,308.10577,3619.0,232.2,75.90577,2
U190-H5-VS2-GGA2.5- HH 15mg-L-17092024-Q=50.64mL-phút-4,U190-H5-VS2-15.09.2024,1,8,,308.6353,4093.0,232.3,76.3353,2
U190-H5-VS2-GGA2.5- HH 15mg-L-17092024-Q=50.64mL-phút-4,U190-H5-VS2-15.09.2024,1,9,,312.2451,4566.0,238.6,73.6451,2
U191-H5-VS2-GGA10- HH 5mg-L-18092024-Q=50mL-phút-1,U191-H5-VS2-15.09.2024,0,0,GGA10,327.196,301.0,300.1,27.096,0
U191-H5-VS2-GGA10- HH 5mg-L-18092024-Q=50mL-phút-1,U191-H5-VS2-15.09.2024,0,1,,326.16667,773.0,299.4,26.76667,0
U191-H5-VS2-GGA10- HH 5mg-L-18092024-Q=50mL-phút-1,U191-H5-VS2-15.09.2024,0,2,,323.58,1247.0,299.0,24.58,0
U191-H5-VS2-GGA10- HH 5mg-L-18092024-Q=50mL-phút-1,U191-H5-VS2-15.09.2024,0,3,,324.32333,1719.0,298.0,26.32333,0
U191-H5-VS2-GGA10- HH 5mg-L-18092024-Q=50mL-phút-1,U191-H5-VS2-15.09.2024,0,4,,322.9129,2195.0,297.7,25.2129,0
U191-H5-VS2-GGA10- HH 5mg-L-18092024-Q=50mL-phút-1,U191-H5-VS2-15.09.2024,0,5,,321.86316,2667.0,295.8,26.06316,0
U191-H5-VS2-GGA10- HH 5mg-L-18092024-Q=50mL-phút-1,U191-H5-VS2-15.09.2024,0,6,,321.51579,3139.0,294.1,27.41579,0
U191-H5-VS2-GGA10- HH 5mg-L-18092024-Q=50mL-phút-1,U191-H5-VS2-15.09.2024,0,7,,320.9,3614.0,294.6,26.3,0
U191-H5-VS2-GGA10- HH 5mg-L-18092024-Q=50mL-phút-1,U191-H5-VS2-15.09.2024,0,8,GGA10-HH5,321.432,4084.0,298.0,23.432,1
U191-H5-VS2-GGA10- HH 5mg-L-18092024-Q=50mL-phút-1,U191-H5-VS2-15.09.2024,0,9,,322.51667,4556.0,304.2,18.31667,1
U191-H5-VS2-GGA10- HH 5mg-L-18092024-Q=50mL-phút-1,U191-H5-VS2-15.09.2024,0,10,,324.44,5027.0,307.1,17.34,1
U191-H5-VS2-GGA10- HH 5mg-L-18092024-Q=50mL-phút-1,U191-H5-VS2-15.09.2024,0,11,,325.40968,5501.0,309.8,15.60968,1
