,Tag,Doin (mV),No.peak,DOmin (mV),DDO (mV),Sheet Name,Sample Name
90,GGA7.5,313.95,311,266.99999,46.95000999999996,U189-H5-VS2-12.09.2024,U189-H5-VS2-GGA7.5- HH 5mg-L-16092024-Q=50.3mL-phút-2
91,GGA7.5,312.85517,785,264.80001,48.05516,U189-H5-VS2-12.09.2024,U189-H5-VS2-GGA7.5- HH 5mg-L-16092024-Q=50.3mL-phút-2
92,GGA7.5,318.77667,1259,270.70001,48.076660000000004,U189-H5-VS2-12.09.2024,U189-H5-VS2-GGA7.5- HH 5mg-L-16092024-Q=50.3mL-phút-2
93,GGA7.5,328.85333,1732,278.10001,50.75332000000003,U189-H5-VS2-12.09.2024,U189-H5-VS2-GGA7.5- HH 5mg-L-16092024-Q=50.3mL-phút-2
94,GGA7.5,334.24828,2207,282.00001,52.24827000000005,U189-H5-VS2-12.09.2024,U189-H5-VS2-GGA7.5- HH 5mg-L-16092024-Q=50.3mL-phút-2
95,GGA7.5-HH-5,343.84138,2679,299.2,44.64138000000003,U189-H5-VS2-12.09.2024,U189-H5-VS2-GGA7.5- HH 5mg-L-16092024-Q=50.3mL-phút-2
96,GGA7.5-HH-5,337.61,3152,299.80001,37.80999000000003,U189-H5-VS2-12.09.2024,U189-H5-VS2-GGA7.5- HH 5mg-L-16092024-Q=50.3mL-phút-2
97,GGA7.5-HH-5,335.55,3626,296.0,39.55000000000001,U189-H5-VS2-12.09.2024,U189-H5-VS2-GGA7.5- HH 5mg-L-16092024-Q=50.3mL-phút-2
98,GGA7.5-HH-5,338.87667,4098,301.9,36.97667000000001,U189-H5-VS2-12.09.2024,U189-H5-VS2-GGA7.5- HH 5mg-L-16092024-Q=50.3mL-phút-2
99,GGA7.5-HH-5,341.21053,4574,303.99999,37.21053999999998,U189-H5-VS2-12.09.2024,U189-H5-VS2-GGA7.5- HH 5mg-L-16092024-Q=50.3mL-phút-2
100,GGA7.5-HH-5,338.82369,5044,304.69999,34.123699999999985,U189-H5-VS2-12.09.2024,U189-H5-VS2-GGA7.5- HH 5mg-L-16092024-Q=50.3mL-phút-2
